Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
JsonList-master,com.sjapps.jsonlist,ExampleInstrumentedTest,0,0,1,1,10,1,0,0,-1.0,0,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\androidTest\java\com\sjapps\jsonlist\ExampleInstrumentedTest.java,13
JsonList-master,com.sjapps.jsonlist,App,0,0,1,1,6,1,0,0,-1.0,0,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\jsonlist\App.java,7
JsonList-master,com.sjapps.jsonlist,AppState,2,0,5,5,19,5,0,0,0.0,4,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\jsonlist\AppState.java,3
JsonList-master,com.sjapps.jsonlist,FileSystem,2,0,11,9,109,22,0,0,0.5454545454545454,5,2,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\jsonlist\FileSystem.java,22
JsonList-master,com.sjapps.jsonlist,functions,0,0,4,4,20,7,0,0,-1.0,4,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\jsonlist\functions.java,15
JsonList-master,com.sjapps.jsonlist,MainActivity,29,0,24,4,480,71,0,0,0.125,1,6,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\jsonlist\MainActivity.java,63
JsonList-master,com.sjapps.jsonlist,ExampleUnitTest,0,0,1,1,9,1,0,0,-1.0,0,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\test\java\com\sjapps\jsonlist\ExampleUnitTest.java,7
JsonList-master,com.sjapps.about,AboutActivity,10,0,8,2,90,11,0,0,0.25,0,2,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\about\AboutActivity.java,29
JsonList-master,com.sjapps.about,AboutListAdapter,4,0,4,4,43,5,0,0,0.5,1,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\about\AboutListAdapter.java,17
JsonList-master,com.sjapps.about,AboutListAdapter.ViewHolder,3,0,0,0,22,0,0,0,-1.0,0,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\about\AboutListAdapter.java,21
JsonList-master,com.sjapps.about,AboutListItem,3,0,9,9,35,9,0,0,0.0,0,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\about\AboutListItem.java,5
JsonList-master,com.sjapps.about,ImageItemClick,0,0,1,0,3,1,0,0,-1.0,0,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\about\ImageItemClick.java,3
JsonList-master,com.sjapps.about,LibraryList,0,0,1,1,8,1,0,2,-1.0,1,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\about\LibraryList.java,6
JsonList-master,com.sjapps.about,ListGenerator,2,0,4,1,22,4,1,1,0.0,0,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\about\ListGenerator.java,9
JsonList-master,com.sjapps.about,ListInit,0,0,1,0,3,1,1,0,-1.0,0,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\about\ListInit.java,3
JsonList-master,com.sjapps.adapters,ListAdapter,9,2,8,7,137,19,0,0,0.375,1,4,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\adapters\ListAdapter.java,24
JsonList-master,com.sjapps.adapters,ListAdapter.ViewHolderShort,1,0,0,0,13,0,0,0,-1.0,0,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\adapters\ListAdapter.java,35
JsonList-master,com.sjapps.adapters,ListAdapter.ViewHolderLong,2,0,0,0,17,0,0,0,-1.0,0,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\adapters\ListAdapter.java,53
JsonList-master,com.sjapps.adapters,ListAdapter.ViewHolderSpace,0,0,0,0,8,0,0,0,-1.0,0,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\adapters\ListAdapter.java,76
JsonList-master,com.sjapps.jsonlist.java,JsonData,5,0,17,17,70,21,0,0,0.17647058823529413,3,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\jsonlist\java\JsonData.java,6
JsonList-master,com.sjapps.jsonlist.java,JsonFunctions,0,0,12,5,136,33,0,0,-1.0,7,1,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\jsonlist\java\JsonFunctions.java,12
JsonList-master,com.sjapps.jsonlist.java,ListItem,8,0,21,21,76,23,0,0,0.09523809523809523,6,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\jsonlist\java\ListItem.java,5
JsonList-master,com.sjapps.jsonlist.java,GetArrayListTest,0,0,2,2,33,2,0,0,-1.0,0,2,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\test\java\com\sjapps\jsonlist\java\GetArrayListTest.java,12
JsonList-master,com.sjapps.jsonlist.java,GetJsonArrayRootTest,0,0,3,3,66,3,0,0,-1.0,0,3,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\test\java\com\sjapps\jsonlist\java\GetJsonArrayRootTest.java,16
JsonList-master,com.sjapps.jsonlist.java,GetJsonObjectTest,0,0,6,6,141,6,0,0,-1.0,0,2,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\test\java\com\sjapps\jsonlist\java\GetJsonObjectTest.java,14
JsonList-master,com.sjapps.jsonlist.java,GetListFromPathTest,0,0,3,3,108,3,0,0,-1.0,0,3,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\test\java\com\sjapps\jsonlist\java\GetListFromPathTest.java,12
JsonList-master,com.sjapps.jsonlist.java,IsArrayOfObjectsTest,0,0,7,7,68,7,0,0,-1.0,0,2,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\test\java\com\sjapps\jsonlist\java\IsArrayOfObjectsTest.java,16
JsonList-master,com.sjapps.jsonlist.java,JsonFunctionsTest,0,0,4,4,35,4,0,0,-1.0,0,1,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\test\java\com\sjapps\jsonlist\java\JsonFunctionsTest.java,14
JsonList-master,com.sjapps.logs,CrashLogs,1,0,4,4,15,4,0,0,0.0,3,0,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\logs\CrashLogs.java,5
JsonList-master,com.sjapps.logs,CustomExceptionHandler,3,0,2,2,28,3,0,0,0.0,0,4,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\logs\CustomExceptionHandler.java,18
JsonList-master,com.sjapps.logs,LogActivity,3,0,10,3,121,17,0,0,0.4,0,4,C:\Users\mpampaMpoui\Desktop\JsonList-master\app\src\main\java\com\sjapps\logs\LogActivity.java,31
